名前 属性1 属性2 H A B C D S 合計
Nさとり 無  100 95 85 95 85 85 545
N霊夢 無  110 110 85 90 85 100 580
Sこいし 無  105 70 75 120 90 100 560
Aユウカ 樹 氷 105 80 80 125 90 80 560
秋姉妹 樹 神 110 105 80 105 80 80 560
A静葉 樹  90 140 80 50 90 80 530
Nサラ 闘 炎 115 90 105 70 80 70 530
A一輪 闘 雷 100 50 80 120 110 70 530
Hオレンジ 闘  145 100 75 70 85 55 530
D永琳 毒 水 125 50 100 100 110 75 560
Tメディスン 毒 風 120 30 90 90 110 90 530
Nメディスン 毒 樹 120 60 90 90 90 80 530
がぶりあす 地 雷 100 100 80 100 80 100 560
S天子 地 闘 105 110 90 90 65 100 560
T藍 地 神 110 80 85 100 85 100 560
ADミスティ 風 虫 120 50 105 105 90 75 545
H布都 風 水 125 110 90 60 85 75 545
A朱鷺子 風 雷 95 120 85 60 95 75 530
Dリグル 虫 雷 125 90 100 40 125 50 530
Hヤマメ 虫 毒 105 50 85 100 120 70 530
Sレイセン 岩 風 105 40 75 100 85 110 515
T橙 岩 神 125 110 90 40 75 90 530
Nキクリ 岩 氷 120 80 110 110 80 60 560
T妖夢 鋼 樹 105 120 105 70 85 60 545
Aゴリアテ 鋼  130 140 100 70 80 40 560
W咲夜 鋼 氷 90 120 95 50 95 110 560
Nメルラン 霊 雷 105 40 70 120 90 90 515
ぎらてぃな 霊 神 110 95 105 95 105 50 560
D幽々子 霊 理 125 75 110 80 120 50 560
Nにとり 水 雷 90 75 90 120 80 90 545
H村紗 水 鋼 95 90 80 100 90 75 530
Sにとり 水 闘 100 90 70 105 70 110 545
Tルナ 雷 岩 110 20 80 120 80 90 500
輪妖精 雷 氷 105 40 80 110 75 90 500
Nルナ 雷 樹 120 40 75 105 85 75 500
Nレティ 氷  100 80 90 80 90 90 530
Sマイ 氷 雷 90 60 70 125 85 100 530
ADチルノ 氷 闘 120 120 90 60 90 80 560
D小悪魔 理 闇 120 40 95 85 110 50 500
Hエレン 理 雷 115 50 80 120 100 65 530
T映姫 理 無 105 55 100 105 105 90 560
S燐 炎 岩 95 70 75 105 85 115 545
Aパチュリー 炎 水 80 30 65 150 140 80 545
Tフラン 炎 氷 90 130 70 80 90 100 560
らてぃおす 神 理 90 50 80 130 105 105 560
N神子 神 霊 105 80 80 120 90 85 560
A諏訪子 神 水 120 70 100 120 85 65 560
Sエリス 闇 雷 90 90 65 125 80 110 560
Tぬえ 闇 無 105 100 80 95 90 90 560
SリリーB 闇 風 95 100 80 30 85 110 500
